Variant,Name,Slot,Quality,Weapon Type,Base Damage,Mag Size,RPM,Reload Speed (ms),Optimal Range,Core 1,Core 1 Max,Core 2,Core 2 Max,Attribute 1,Talent,Optics,Under Barrel,Magazine,Muzzle,HSD
Honey Badger,Honey Badger,P,High End,Assault Rifle,43251,30,750,2400,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Short / Long,Side / Short / Long,5.56,,55
SCAR,Mk16,P,High End,Assault Rifle,49362,30,625,2300,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,55
SCAR,SOCOM Mk16,P,High End,Assault Rifle,49362,30,625,2300,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,55
SCAR,Tactical Mk 16,P,High End,Assault Rifle,49362,30,625,2300,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,55
SCAR,Tactical Mk 16 Replica,P,High End,Assault Rifle,49362,30,625,2300,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,55
TAR-21,CTAR-21,P,High End,Assault Rifle,38079,30,900,2100,35,Assault Rifle Damage,15,Damage to Health,21,A,A,Micro / Short,Side,5.56,5.56,55
AK-47,Manic,P,Named,Assault Rifle,53593,30,600,2500,31,Assault Rifle Damage,15,Damage to Health,21,A,Perfect Overflowing,Short / Long,Side / Short / Long,7.62,7.62,55
AUG,Invisible Hand,P,Named,Assault Rifle,46071,30,680,2100,27,Assault Rifle Damage,15,Damage to Health,21,A,Perfect Allegro,Ironsights / Short / Long,Side / Short,5.56,5.56,55
F2000,Shield Splinterer,P,Named,Assault Rifle,39490,30,850,2100,27,Assault Rifle Damage,15,Damage to Health,21,A,Perfect Optimist,Ironsights / Short / Long,,5.56,5.56,55
FAMAS,Burnout,P,Named,Assault Rifle,39960,30,900,2200,28,Assault Rifle Damage,15,Damage to Health,21,A,Perfectly on Empty,Short / Long,Side / Short,,5.56,55
M4,Pyromaniac,P,Named,Assault Rifle,41370,30,850,2400,35,Assault Rifle Damage,15,Damage to Health,21,A,Perfectly Ignited,Short / Long,Side / Short / Long,5.56,5.56,55
P416,Glory Daze,P,Named,Assault Rifle,44661,30,750,2300,26,Assault Rifle Damage,15,Damage to Health,21,A,Perfect Near Sighted,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,55
Honey Badger,Savage Wolverine,P,Named,Assault Rifle,43251,30,750,2400,35,Assault Rifle Damage,15,Damage to Health,21,A,Perfectly Close & Personal,Short / Long,Side / Short / Long,5.56,,55
TAR-21,The Railsplitter,P,Named,Assault Rifle,38079,30,900,2100,35,Assault Rifle Damage,15,Damage to Health,21,A,Perfectly Accurate,Micro / Short,Side,5.56,5.56,55
NEGEV,Bullet King,P,Exotic,LMG,35729,,850,,40,LMG Damage,15,Damage to TOC,12,Critical Hit Damage,Bullet Hell,Bullet King,Bullet King,Bullet King,Bullet King,65
M249,Pestilence,P,Exotic,LMG,47012,100,550,5600,35,LMG Damage,15,Damage to TOC,12,Damage to Armor,Plague of the Outcasts,Pestilence,Pestilence,Pestilence,Pestilence,65
L86,Custom L86 A2,P,High End,LMG,55004,30,610,3000,32,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,5.56,5.56,65
L86,Custom L86 A2 Replica,P,High End,LMG,55004,30,610,3000,32,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,5.56,5.56,65
L86,Military L86 LSW,P,High End,LMG,55004,30,610,3000,32,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short,5.56,5.56,65
M249,M249 B,P,High End,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M249,Military MK46,P,High End,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M249,Military MK46 Replica,P,High End,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M249,Tactical M249 Para,P,High End,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M60,Black Market M60 E6,P,High End,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,7.62,65
M60,Black Market M60 E6 Replica,P,High End,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,7.62,65
M60,Classic M60,P,High End,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,,65
M60,Classic M60 Replica,P,High End,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,,65
M60,Military M60 E4,P,High End,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,Ammunition Belt,7.62,65
MG5,Infantry MG5,P,High End,LMG,44661,50,800,5600,30,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short,Ammunition Belt,7.62,85
MG5,Infantry MG5 Replica,P,High End,LMG,44661,50,800,5600,30,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short,Ammunition Belt,7.62,85
MG5,MG5,P,High End,LMG,44661,50,800,5600,30,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short,Ammunition Belt,,85
RPK-74,Black Market RPK-74 E,P,High End,LMG,49362,45,650,3000,28,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,7.62,7.62,65
RPK-74,Black Market RPK-74 E Replica,P,High End,LMG,49362,45,650,3000,28,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,7.62,7.62,65
RPK-74,Classic RPK-74,P,High End,LMG,49362,45,650,3000,28,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,7.62,7.62,65
RPK-74,Military RPK-74 M,P,High End,LMG,49362,45,650,3000,28,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short / Long,7.62,7.62,65
NEGEV,IWI NEGEV,P,High End,LMG,36669,100,850,5800,40,LMG Damage,15,Damage to TOC,12,A,A,Short,Side / Short / Long,Ammunition Belt,7.62,65
KAC,Stoner LAMG,P,High End,LMG,47012,200,580,4670,40,LMG Damage,15,Damage to TOC,12,A,A,Short / Long,Side / Short,Ammunition Belt,QDC,65
L86,Tabula Rasa,P,Named,LMG,55004,30,610,3000,32,LMG Damage,15,Damage to TOC,12,A,Perfectly Steady Handed,Short / Long,Side / Short,5.56,5.56,65
M249,Black Friday,P,Named,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,Perfectly Unhinged,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M249,The Stinger,P,Named,LMG,56414,100,550,5600,35,LMG Damage,15,Damage to TOC,12,A,Swift,Short / Long,Side / Short / Long,Ammunition Belt,5.56,65
M60,Good Times,P,Named,LMG,56414,100,500,5800,40,LMG Damage,15,Damage to TOC,12,A,Perfect Fast Hands,Short / Long,Side / Short / Long,Ammunition Belt,7.62,65
MG5,Sleipner,P,Named,LMG,44661,50,800,5600,30,LMG Damage,15,Damage to TOC,12,A,Perfect Frenzy,Short / Long,Side / Short,Ammunition Belt,,85
RPK-74,New Reliable,P,Named,LMG,49362,45,650,3000,28,LMG Damage,15,Damage to TOC,12,A,Perfectly Optimized,Short / Long,Side / Short / Long,7.62,7.62,65
NEGEV,Carnage,P,Named,LMG,36669,100,850,5800,40,LMG Damage,15,Damage to TOC,12,A,Perfect Sadist,Short,Side / Short / Long,Ammunition Belt,7.62,65
KAC,Quiet Roar,P,Named,LMG,47012,200,580,4670,40,LMG Damage,15,Damage to TOC,12,A,Perfect Overwhelm,Short / Long,Side / Short,Ammunition Belt,QDC,65
AWM,Nemesis,P,Exotic,Marksman Rifle,846216,5,50,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,Critical Hit Chance,Electromagnetic Accelerator,Nemesis,Nemesis,Nemesis,Nemesis,0
M44,Classic M44 Carbine,P,High End,Marksman Rifle,376096,5,55,4200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short,Integrated,,0
M44,Classic M44 Carbine Replica,P,High End,Marksman Rifle,376096,5,55,4200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short,Integrated,,0
M44,Custom M44,P,High End,Marksman Rifle,347888,5,55,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,0
M44,Custom M44 Replica,P,High End,Marksman Rifle,347888,5,55,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,0
M44,Hunting M44,P,High End,Marksman Rifle,366693,5,55,4200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,Integrated,7.62,0
Model 700,M700 Carbon,P,High End,Marksman Rifle,347888,7,54,3300,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,0
Model 700,M700 Carbon Replica,P,High End,Marksman Rifle,347888,7,54,3300,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,0
Model 700,M700 Tactical,P,High End,Marksman Rifle,347888,7,54,3300,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side,MM 7.62,7.62,0
Model 700,Model 700,P,High End,Marksman Rifle,347888,7,54,7200,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,,Integrated,7.62,0
Model 700,Model 700 Replica,P,High End,Marksman Rifle,347888,7,54,7200,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,,Integrated,7.62,0
SCAR,SOCOM Mk20 SSR,P,High End,Marksman Rifle,131633,20,275,2200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short / Long,MM 7.62,7.62,0
SCAR,SOCOM Mk20 SSR Replica,P,High End,Marksman Rifle,131633,20,275,2200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short / Long,MM 7.62,7.62,0
SR-1,Adrestia,P,High End,Marksman Rifle,329084,5,60,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
SR-1,SR-1,P,High End,Marksman Rifle,329084,5,60,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
SR-1,SR-1 Replica,P,High End,Marksman Rifle,329084,5,60,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
G28,G28,P,High End,Marksman Rifle,131633,20,275,2400,60,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,0
SRS,Covert SRS,P,High End,Marksman Rifle,289123,7,60,3000,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
SRS,SRS A1,P,High End,Marksman Rifle,289123,7,60,3000,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short / Long,MM 7.62,7.62,0
SRS,SRS A1 Replica,P,High End,Marksman Rifle,289123,7,60,3000,42,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Ironsights / Short / Long,Side / Short / Long,MM 7.62,7.62,0
SVD,Paratrooper SVD,P,High End,Marksman Rifle,164542,10,260,2600,34,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short,MM 7.62,7.62,0
SVD,Surplus SVD,P,High End,Marksman Rifle,164542,10,260,2600,34,Marksman Rifle Damage,15,Headshot Damage,111,A,A,Short / Long,Side / Short,MM 7.62,7.62,0
M44,The White Death,P,Named,Marksman Rifle,376096,5,55,4200,60,Marksman Rifle Damage,15,Headshot Damage,137,A,A,Short / Long,Side / Short,Integrated,,0
Model 700,Ekim's Long Stick,P,Named,Marksman Rifle,347888,7,54,7200,42,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Ranger,Short / Long,,Integrated,7.62,0
SCAR,The Darkness,P,Named,Marksman Rifle,131633,20,275,2200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Eyless,Ironsights / Short / Long,Side / Short / Long,MM 7.62,7.62,0
SR-1,Designated Hitter,P,Named,Marksman Rifle,329084,5,60,3200,60,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect Reformation,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
SRS,Pinprick,P,Named,Marksman Rifle,289123,7,60,3000,42,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfect First Blood,Ironsights / Short / Long,Side / Short,MM 7.62,7.62,0
SVD,Commando,P,Named,Marksman Rifle,164542,10,260,2600,34,Marksman Rifle Damage,15,Headshot Damage,111,A,Perfectly Naked,Short / Long,Side / Short,MM 7.62,7.62,0
Desert Eagle,Liberty,S,Exotic,Pistol,235060,8,150,1900,16,Pistol Damage,15,,,Damage to TOC,Liberty or Death,Liberty,Liberty,Liberty,Liberty,100
m586,Regulus,S,Exotic,Pistol,282072,6,160,1800,18,Pistol Damage,15,,,Damage to Armor,Regicide,Regulus,Regulus,Regulus,Regulus,100
586 Magnum,586 Magnum,S,High End,Pistol,112828,6,160,1800,18,Pistol Damage,15,,,A,A,Micro / Short,,Revolver Drum,,100
586 Magnum,Police 686 Magnum,S,High End,Pistol,112828,6,160,1800,18,Pistol Damage,15,,,A,A,Micro / Short,,Revolver Drum,,100
586 Magnum,Police 686 Magnum Replica,S,High End,Pistol,112828,6,160,1800,18,Pistol Damage,15,,,A,A,Micro / Short,,Revolver Drum,,100
93R,93R,S,High End,Pistol,30557,20,1100,1900,16,Pistol Damage,15,,,A,A,,,Pistol,9mm,100
Desert Eagle,D50,S,High End,Pistol,188048,8,150,1900,16,Pistol Damage,15,,,A,A,Micro / Short,,,,100
M1911,M1911,S,High End,Pistol,109067,7,310,1900,12,Pistol Damage,15,,,A,A,,,Pistol,,100
M1911,M45A1,S,High End,Pistol,109067,7,310,1900,12,Pistol Damage,15,,,A,A,Micro,Gadget,Pistol,.45 ACP,100
M1911,Tactical M1911,S,High End,Pistol,109067,7,310,1900,12,Pistol Damage,15,,,A,A,Micro,Gadget,Pistol,.45 ACP,100
M1911,Tactical M1911 Replica,S,High End,Pistol,109067,7,310,1900,12,Pistol Damage,15,,,A,A,Micro,Gadget,Pistol,.45 ACP,100
M9,Military M9,S,High End,Pistol,75219,15,350,1700,16,Pistol Damage,15,,,A,A,,,Pistol,9mm,100
M9,Military M9 Replica,S,High End,Pistol,75219,15,350,1700,16,Pistol Damage,15,,,A,A,,,Pistol,9mm,100
M9,Officer's M9 A1,S,High End,Pistol,75219,20,350,1700,16,Pistol Damage,15,,,A,A,Micro,Gadget,Pistol,9mm,100
PF45,Custom PF45,S,High End,Pistol,72868,12,370,1900,14,Pistol Damage,15,,,A,A,Micro,Gadget,Pistol,.45 ACP,100
PF45,First Wave PF45,S,High End,Pistol,72868,15,370,1900,14,Pistol Damage,15,,,A,A,,Gadget,Pistol,,100
Px4,Px4 Storm Type F,S,High End,Pistol,79920,17,380,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,9mm,100
Px4,Px4 Storm Type T,S,High End,Pistol,79920,17,380,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,100
Px4,Px4 Storm Type T Replica,S,High End,Pistol,79920,17,380,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,100
Rhino,Diceros,S,High End,Pistol,159840,6,180,1800,18,Pistol Damage,15,,,A,A,,Gadget,Revolver Drum,,100
Rhino,Diceros Replica,S,High End,Pistol,159840,6,180,1800,18,Pistol Damage,15,,,A,A,,Gadget,Revolver Drum,,100
Rhino,Snubnosed Diceros,S,High End,Pistol,159840,6,180,1800,18,Pistol Damage,15,,,A,A,,,Revolver Drum,,100
X-45,X-45,S,High End,Pistol,76629,10,400,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,100
X-45,X-45 Tactical,S,High End,Pistol,76629,15,400,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,100
X-45,X-45 Tactical Replica,S,High End,Pistol,76629,15,400,1900,16,Pistol Damage,15,,,A,A,,Gadget,Pistol,.45 ACP,100
586 Magnum,Orbit,S,Named,Pistol,112828,6,160,1800,18,Pistol Damage,15,,,A,Perfect Finisher,Micro / Short,,Revolver Drum,,100
M1911,Mozambique Special,S,Named,Pistol,109067,7,310,1900,12,Pistol Damage,15,,,A,Perfect Breadbasket,Micro,Gadget,Pistol,.45 ACP,100
PF45,Lightning Rod,S,Named,Pistol,72868,15,370,1900,14,Pistol Damage,15,,,A,Perfect Salvage,Micro,Gadget,Pistol,.45 ACP,100
AK-M,Merciless,P,Exotic,Rifle,75219,30,400,2500,50,Rifle Damage,15,Critical Hit Damage,17,Critical Hit Chance,Binary Trigger,Merciless,Merciless,Merciless,Merciless,60
AK-M,Ruthless,P,Exotic,Rifle,75219,30,400,2500,50,Rifle Damage,15,Critical Hit Damage,17,Critical Hit Chance,Binary Trigger,Ruthless,Ruthless,Ruthless,Ruthless,60
P416,The Ravenous,P,Exotic,Rifle,112828,30,240,2400,50,Rifle Damage,15,Critical Hit Damage,17,Damage to TOC,Geri and Freki,The Ravenous,The Ravenous,The Ravenous,The Ravenous,60
1886,Diamondback,P,Exotic,Rifle,305578,5,100,3400,28,Rifle Damage,15,Critical Hit Damage,17,Headshot Damage,Agonizing Bite,Diamondback,Diamondback,Diamondback,Diamondback,60
1886,1886,P,High End,Rifle,282072,5,100,3400,28,Rifle Damage,15,Critical Hit Damage,17,A,A,,,Tubular,,60
ACR,ACR SS,P,High End,Rifle,89322,30,420,2300,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
UIC15,UIC15 MOD2,P,High End,Rifle,86972,30,240,1900,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,5.56,5.56,60
M16A2,M16A2,P,High End,Rifle,75219,30,300,2400,32,Rifle Damage,15,Critical Hit Damage,17,A,A,Micro / Short,,5.56,5.56,60
M16A2,M16A2 Replica,P,High End,Rifle,75219,30,300,2400,32,Rifle Damage,15,Critical Hit Damage,17,A,A,Micro / Short,,5.56,5.56,60
M1A,Classic M1A,P,High End,Rifle,235060,10,180,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,MM 7.62,,60
M1A,M1A CQB,P,High End,Rifle,141036,10,320,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,60
M1A,M1A CQB Replica,P,High End,Rifle,141036,10,320,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,60
M1A,SOCOM M1A,P,High End,Rifle,141036,10,320,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,MM 7.62,7.62,60
M4,Lightweight M4,P,High End,Rifle,94024,30,360,2400,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,60
M4,LVOA-C,P,High End,Rifle,89322,30,360,2400,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,60
M4,LVOA-C Replica,P,High End,Rifle,89322,30,360,2400,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,60
MDR,Urban MDR,P,High End,Rifle,103462,20,360,1900,28,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
MDR,Urban MDR Replica,P,High End,Rifle,103462,20,360,1900,28,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
SCAR,Military Mk17,P,High End,Rifle,131633,20,275,2200,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
SCAR,Police Mk17,P,High End,Rifle,131633,20,275,2200,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
SCAR,Police Mk17 Replica,P,High End,Rifle,131633,20,275,2200,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
SIG 716,SIG 716,P,High End,Rifle,91673,20,320,2400,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
SIG 716,SIG 716 CQB,P,High End,Rifle,91673,20,320,2400,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short,7.62,,60
SIG 716,SIG 716 Replica,P,High End,Rifle,91673,20,320,2400,60,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,7.62,7.62,60
UMP-45,USC .45 ACP,P,High End,Rifle,101075,20,420,2300,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,.45 ACP,,60
UMP-45,USC .45 ACP Replica,P,High End,Rifle,101075,20,420,2300,50,Rifle Damage,15,Critical Hit Damage,17,A,A,Short / Long,Side / Short / Long,.45 ACP,,60
1886,The Virginian,P,Named,Rifle,282072,5,100,3400,28,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Boomerang,,,Tubular,,60
M1A,Baker's Dozen,P,Named,Rifle,235060,10,180,3000,60,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Lucky Shot,Short / Long,Side / Short / Long,MM 7.62,,60
M4,Surge,P,Named,Rifle,89322,30,360,2400,50,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Spike,Ironsights / Short / Long,Side / Short / Long,5.56,5.56,60
SCAR,Everlasting Gaze,P,Named,Rifle,131633,20,275,2200,50,Rifle Damage,15,Critical Hit Damage,17,A,Perfect Perpetuation,Short / Long,Side / Short / Long,7.62,7.62,60
