Slot,Type,Name,valPos,pos,valNeg,neg,Spec
Magazine,The Chatterbox,Chatterbox Magazine,10,Reload Speed %,,,
Muzzle,The Chatterbox,Chatterbox Muzzle,10,Critical Hit Chance,,,
Under Barrel,The Chatterbox,Chatterbox Cannister,15,Weapon Handling,,,
Optic,Sweet Dreams,Outcast Optics,15,Accuracy,,,
Magazine,Sweet Dreams,Modified Feed System,15,Reload Speed %,,,
Under Barrel,Sweet Dreams,Stunner,25,Optimal Range,,,
Optic,Lullaby,Damaged Optics,15,Accuracy,,,
Magazine,Lullaby,Modified Feed System,15,Reload Speed %,,,
Under Barrel,Lullaby,Hardened Grip,25,Optimal Range,,,
Optic,Merciless,Merciless Optics,10,Accuracy,,,
Magazine,Merciless,Merciless Magazine,15,Reload Speed %,,,
Muzzle,Merciless,Merciless Muzzle,20,Stability,,,
Under Barrel,Merciless,Merciless Grip,20,Weapon Handling,,,
Optic,Ruthless,Unidentified Custom Russian Sight,10,Accuracy,,,
Magazine,Ruthless,Ruthless Magazine,15,Reload Speed %,,,
Muzzle,Ruthless,Mayhem's Muzzle,20,Stability,,,
Under Barrel,Ruthless,Ruthless Grip,20,Weapon Handling,,,
Magazine,Pestilence,Plagued Magazine,10,Rate of Fire %,,,
Muzzle,Pestilence,Plagured Muzzle,10,Stability,,,
Under Barrel,Pestilence,Caution Tape,10,Weapon Handling,,,
Optic,Liberty,Liberty Sight,5,Critical Hit Chance,,,
Magazine,Liberty,Trigger Mechanisim,15,Rate of Fire %,,,
,Liberty,Liberty Customs,15,Stability,,,
Under Barrel,Liberty,Liberty Grip,15,Reload Speed %,,,
Magazine,Regulus,Engraved Drum,10,Reload Speed %,,,
Muzzle,Regulus,Engraved Muzzle,5,Critical Hit Damage,,,
Optic,Diamondback,Diamondback Dot Sight,10,Accuracy,,,
Magazine,Diamondback,Diamondback Lever,10,Reload Speed %,,,
Under Barrel,Diamondback,Diamondback Grip,10,Stability,,,
Muzzle,Diamondback,Rattlesnake Ornamentation,15,Critical Hit Damage,,,
Optic,The Ravenous,Predatory Optics,5,Critical Hit Chance,,,
Magazine,The Ravenous,Gluttonous Magazines,10,Reload Speed %,,,
Under Barrel,The Ravenous,Devouring Maw,5,Critical Hit Damage,,,
Muzzle,The Ravenous,Wolf's Claw,10,Stability,,,
Optic,Lady Death,Gaze of Death,5,Critical Hit Chance,,,
Magazine,Lady Death,Death's Hand,10,Reload Speed %,,,
Under Barrel,Lady Death,Death's Maw,5,Critical Hit Chance,,,
Muzzle,Lady Death,Kiss of Death,5,Critical Hit Damage,,,
Magazine,Bullet King,Mag of Holding,,,,,
Muzzle,Bullet King,Gold Plated Muzzle,5,Critical Hit Chance,,,
Under Barrel,Bullet King,Solid Gold Bipod,10,Stability,,,
Optic,Chameleon,Chameleon Optics,15,Accuracy,,,
Magazine,Chameleon,Chameleon ActivCamo Processor,20,Extra Rounds,,,
Under Barrel,Chameleon,Chameleon Dampener,5,Critical Hit Chance,,,
Muzzle,Chameleon,Chameleon Grip,10,Critical Hit Chance,,,
Optic,Eagle Bearer,Eagle Eye Sight,10,Critical Hit Chance,,,
Magazine,Eagle Bearer,Bullet Eyrie,30,Extra Rounds,,,
Under Barrel,Eagle Bearer,Talon Grip,10,Stability,,,
Muzzle,Eagle Bearer,Jagged Break,15,Critical Hit Damage,,,
Optic,The Bighorn,Fire Select Scope,,,,,
Magazine,The Bighorn,Tension Spring Magazine,7,Headshot Damage,,,
Under Barrel,The Bighorn,Carbon Steel Muzzle,10,Accuracy,,,
Muzzle,The Bighorn,Bighorn Grip,10,Stability,,,
